date,description,moneyIn,moneyOut,tx
2017-03-11 17:23:24,PAYMENT RECEIVED,8.62000001,0,0d1jkk2j1l12k2178278d2o1d21kij2128912dwaji129dapwlkwad908821jkhdwf4
2017-03-08 02:26:50,PAYMENT RECEIVED,0.24191208,0,33de37b7700f5e67e056b07f2a9ca4fb18a0de3978e00a874a4df3d94926b56e
2017-03-08 02:26:50,PAYMENT RECEIVED,0.24191208,0,33de37b7700f5e67e056b07f2a9ca4fb18a0de3978e00a874a4df3d94926b56e
2017-02-20 02:24:21,PAYMENT RECEIVED,0.09047,0,c3afc58042049d53d19a395d4ae472ee38cc729c5daaf5f70e3f6c899cff4c47
2017-02-20 02:24:21,PAYMENT RECEIVED,0.09047,0,c3afc58042049d53d19a395d4ae472ee38cc729c5daaf5f70e3f6c899cff4c47
2017-03-08 23:52:97,PAYMENT RECEIVED,0.09047,0,0pwz1clbcyiwf8pnj2jh2550bbq5meocxn8suv2hnuetf04o6nm
2017-03-08 23:52:98,PAYMENT RECEIVED,0.09047,0,nlzwg3lqqiomjcuqdiibgfkuyk5x1vgr17ttbrakhbecbpeihor
2017-03-08 23:52:344,PAYMENT RECEIVED,0.09047,0,ey3eyraqpjwiffl4iisuxfcj65ezketwupt42gxzoeewvguyrus
2017-03-20 02:24:21,PAYMENT RECEIVED,0.09047,0,c3afc58042049d53d19a395d4ae472ee38cc729c5daaf5f70e3f6c899cff4c47
2017-03-20 02:24:21,PAYMENT RECEIVED,0.09047,0,c3afc58042049d53d19a395d4ae472ee38cc729c5daaf5f70e3f6c899cff4c47
2017-03-04 18:21:15,PAYMENT RECEIVED,0.08006726,0,fe921fb515cc47b7b55d344cd93b47ca271f05df17f6d767487f3ec435e0b64d
2017-03-04 18:21:15,PAYMENT RECEIVED,0.08006726,0,fe921fb515cc47b7b55d344cd93b47ca271f05df17f6d767487f3ec435e0b64d
2017-03-08 23:52:306,PAYMENT RECEIVED,0.08006726,0,1o3h7rssc1ur74oxo2objzk2pnnd0xsl6zonmeqpt3x3yeuo5y2
2017-03-08 23:52:309,PAYMENT RECEIVED,0.08006726,0,s4au9fv6ud7vn7msx4nvg1y1ytpk8hb2lfyixg1avjf6v9c3wea
2017-03-04 15:33:37,PAYMENT RECEIVED,0.06772963,0,ee3064a89ced70d02182ea0da874814dd6fe336396c8295604e6e5a0fe1127d3
2017-03-04 15:33:37,PAYMENT RECEIVED,0.06772963,0,ee3064a89ced70d02182ea0da874814dd6fe336396c8295604e6e5a0fe1127d3
2017-03-08 23:52:298,PAYMENT RECEIVED,0.06772963,0,3qmbfswdfh0ur2nssmztafaknqp8ygnb4qeifdy05o4vrb2eume
2017-03-08 23:52:300,PAYMENT RECEIVED,0.06772963,0,lolhrfhwumgwhvlb52bkpjhoujabl7ionom9tc5q2jayaya5ttx
2017-03-04 15:29:33,PAYMENT RECEIVED,0.062454,0,8f4700e677cdf99927180ea10378cc5709517df5fc73edaeb71dadcda084bcd9
2017-03-04 15:29:33,PAYMENT RECEIVED,0.062454,0,8f4700e677cdf99927180ea10378cc5709517df5fc73edaeb71dadcda084bcd9
2017-03-08 23:52:295,PAYMENT RECEIVED,0.062454,0,zkjoywon5983qmxfjne604y5abfumyxbbq9eb3qez7dyiqnu00x
2017-03-08 23:52:296,PAYMENT RECEIVED,0.062454,0,clz5k2ma7w7bxr2fbujlphvcfk7rkndct7n2x1m20agrnkvu0q3
2017-03-01 04:12:22,PAYMENT RECEIVED,0.04975,0,981bbbd0a91ed4ddc2ae75f14da114237e905f15315b60e648bf713274efc5f0
2017-03-01 04:12:22,PAYMENT RECEIVED,0.04975,0,981bbbd0a91ed4ddc2ae75f14da114237e905f15315b60e648bf713274efc5f0
2017-03-08 23:52:235,PAYMENT RECEIVED,0.04975,0,org434qyvxrxsrc7jwin7z6orbbeuocubp6e3cs5272l11jrffs
2017-03-08 23:52:236,PAYMENT RECEIVED,0.04975,0,8l3v55utosunb4l51uj1jzlihatu663dokemqh1v2wkb2up50zz
2017-03-08 23:52:345,PAYMENT RECEIVED,0.04975,0,iariat169lb81ys0l6denwrlhco3vnsub48nm6e6y80h4tn25di
2017-03-08 23:52:346,PAYMENT RECEIVED,0.04975,0,6mciy98xnehjt8451fary885mu6mbae8iznt00bj11e6xqrrkew
2017-03-07 03:26:56,PAYMENT RECEIVED,0.027814,0,d72afc94a2fb198717e59d0b26e0d01ed9d60c1860d4be46fb5ff03503eb90c4
2017-03-07 03:26:56,PAYMENT RECEIVED,0.027814,0,d72afc94a2fb198717e59d0b26e0d01ed9d60c1860d4be46fb5ff03503eb90c4
2017-03-03 06:17:59,PAYMENT RECEIVED,0.019142,0,3c10e5c14f27e359db5b87be82c685406b7271e6ec1222375a57961ceaa80c79
2017-03-03 06:17:59,PAYMENT RECEIVED,0.019142,0,3c10e5c14f27e359db5b87be82c685406b7271e6ec1222375a57961ceaa80c79
2017-03-08 23:52:275,PAYMENT RECEIVED,0.019142,0,l83z1r7focd0r0abf1b3cju35ncpn92va5q6vu4yrst2jp12hd0
2017-03-08 23:52:276,PAYMENT RECEIVED,0.019142,0,lvzg1jy9xn6p7dxdba6ha33oylrtuh5jc78ywenuasryyzmgxyy
2017-03-08 23:52:347,PAYMENT RECEIVED,0.019142,0,eikcyrw7ecxeavyv0lzb65srnkf3ygl482jpdfmv4a3ryowjjxc
2017-03-08 23:52:348,PAYMENT RECEIVED,0.019142,0,pe2aes9aaups9a6y4k7snkxixoum7h7gbff9rr3b8hwh4kd9iff
2017-03-04 08:11:54,PAYMENT RECEIVED,0.01564713,0,bdf0f37786391e8479fa94ffe7559c1f6f6ccda8aaa37f9d8e9f932bf14a9ebc
2017-03-04 08:11:54,PAYMENT RECEIVED,0.01564713,0,bdf0f37786391e8479fa94ffe7559c1f6f6ccda8aaa37f9d8e9f932bf14a9ebc
2017-03-08 23:52:291,PAYMENT RECEIVED,0.01564713,0,1jbcid6ubr27ldpegkeu1w1rv1jx2uc6jfdj7ifdnjf9jd7fw5q
2017-03-08 23:52:292,PAYMENT RECEIVED,0.01564713,0,oau07tl6ntute9xfikhe9j7ula61gzw6pqwjsjgdrntxxpkvv2h
2017-03-01 09:41:15,PAYMENT RECEIVED,0.01240596,0,57eea45a2f5609d12941412ac8a686cda06a374dd01b7a0ff043b1ec2bb6eb6a
2017-03-01 09:41:15,PAYMENT RECEIVED,0.01240596,0,57eea45a2f5609d12941412ac8a686cda06a374dd01b7a0ff043b1ec2bb6eb6a
2017-03-08 23:52:243,PAYMENT RECEIVED,0.01240596,0,jc5r5fjspvgl8k9su37ykuamxn8okcu104euxrg5n8c34fzh5o3
2017-03-08 23:52:244,PAYMENT RECEIVED,0.01240596,0,qlo8u0kio12p4lok23yhnc4tiegqmnubvodmg5qxb2b4cnfvd6m
2017-03-08 23:52:349,PAYMENT RECEIVED,0.01240596,0,a4b6pfjm6w3ll0l5g5i8i8c89w6mkxp20qzezyb2n5u5b4k79rt
2017-03-08 23:52:350,PAYMENT RECEIVED,0.01240596,0,m6e5c9mdafyf3mu4g9xh5uha33ektivqqgayyztcl6wl15wgc6a
2017-02-01 06:13:31,PAYMENT RECEIVED,0.012243,0,cea32b4665b6f8200284c9d72156a50541c7849ac4f9f3b44ec2e09af4621948
2017-02-01 06:13:32,PAYMENT RECEIVED,0.012243,0,cea32b4665b6f8200284c9d72156a50541c7849ac4f9f3b44ec2e09af4621948
2017-03-08 23:52:351,PAYMENT RECEIVED,0.012243,0,huz22qp9qg5ymg1sclv8p76rd2evtgxfn04mzib5kt266f4wwre
2017-03-08 23:52:352,PAYMENT RECEIVED,0.012243,0,q2k556cir3sp6bsdi02bc2w3a7134fyh9kyjzfdoadt4bmozam3
2017-02-20 04:31:28,PAYMENT RECEIVED,0.01192498,0,c80787a0372165adf4202d3c6dbecd12dd13b6628f0e1e5c85376e9a01cb75e8
2017-02-20 04:31:28,PAYMENT RECEIVED,0.01192498,0,c80787a0372165adf4202d3c6dbecd12dd13b6628f0e1e5c85376e9a01cb75e8
2017-03-08 23:52:101,PAYMENT RECEIVED,0.01192498,0,n5q0kcvhwleaak4dz8djw7nw5pras8d93p3kjjfifnn613d0jig
2017-03-08 23:52:102,PAYMENT RECEIVED,0.01192498,0,iu9cgvspsxfe4z0axcr3ngkzcb6ch73floswglk133w73pwp7ic
2017-03-08 23:52:353,PAYMENT RECEIVED,0.01192498,0,leyzhvi95fzwz42tzntk60uvppg1hcv9e0x7qrz8k0k0uhgw8xu
